trans_id,CUSTOMERACCID,type,operation,TransactionType,Debit,Credit,amount,balance,bankID,BranchID,Channel,TransactionDate
T01110421,1068,Debit,Cash Withdrawal,1,7500,0,7500,23502.4,1,55,5,1/1/2019 9:37
T01176501,1069,Debit,Cash Withdrawal,1,840,0,840,47544.8,1,337,5,1/1/2019 8:01
T01167071,1070,Debit,Cash Withdrawal,1,1320,0,1320,79335,1,108,5,1/1/2019 11:35
T01166270,1071,Debit,Cash Withdrawal,1,4400,0,4400,17801.3,1,74,5,1/1/2019 9:54
T01170747,1072,Debit,Cash Withdrawal,1,4800,0,4800,30596.7,1,11,5,1/1/2019 14:04
T01165918,1073,Debit,Cash Withdrawal,1,600,0,600,27378.5,1,92,5,1/1/2019 13:12
T01165920,1074,Debit,Cash Withdrawal,1,2280,0,2280,25098.5,1,92,5,1/1/2019 13:46
T02075038,1075,Debit,Cash Withdrawal,1,2000,0,2000,21535.2,1,104,5,1/1/2019 8:14
T00271667,1076,Debit,Cash Withdrawal,1,3480,0,3480,37476.5,1,89,5,1/1/2019 12:36
T00267522,1077,Debit,Cash Withdrawal,1,6000,0,6000,44108.2,1,91,5,1/1/2019 10:58
T00267152,1078,Debit,Cash Withdrawal,1,570,0,570,18839.7,1,136,5,1/1/2019 16:56
T00270811,1079,Debit,Cash Withdrawal,1,3480,0,3480,43617.9,1,189,5,1/1/2019 16:37
T00304552,1080,Debit,Cash Withdrawal,1,240,0,240,17866.9,1,291,5,1/1/2019 14:28
T00302569,1081,Debit,Cash Withdrawal,1,1120,0,1120,26576.7,1,102,5,1/1/2019 10:04
T00334780,1082,Debit,Cash Withdrawal,1,780,0,780,14683.8,1,285,5,1/1/2019 9:23
T00336859,1083,Debit,Cash Withdrawal,1,1230,0,1230,15518.3,1,4,5,1/1/2019 11:33
T00333929,1084,Debit,Cash Withdrawal,1,3760,0,3760,22343,1,73,5,1/1/2019 9:00
T00333915,1085,Debit,Cash Withdrawal,1,400,0,400,21943,1,73,5,1/1/2019 12:25
T00337269,1086,Debit,Cash Withdrawal,1,690,0,690,16603.7,1,344,5,1/1/2019 13:39
T00337270,1087,Debit,Cash Withdrawal,1,540,0,540,17293.7,1,344,5,1/1/2019 15:41
T00338064,1088,Debit,Credit Card Withdrawal,,3200,0,3200,39250.1,1,215,5,1/1/2019 10:59
T00338032,1089,Debit,Cash Withdrawal,1,8000,0,8000,42450.1,1,215,5,1/1/2019 15:48
T00334425,1090,Debit,Cash Withdrawal,1,3600,0,3600,30993.4,1,108,5,1/1/2019 8:50
T00335857,1091,Debit,Cash Withdrawal,1,840,0,840,17426.9,1,166,5,1/1/2019 15:25
T00646026,1092,Credit,Credit in Cash,,0,1300,1300,30288.8,1,334,5,1/1/2019 9:52
T00646144,1093,Debit,Cash Withdrawal,1,2040,0,2040,47690,1,172,5,1/1/2019 15:00
T00237155,1094,Debit,Cash Withdrawal,1,2320,0,2320,20632.4,1,262,5,1/1/2019 13:12
T00235417,1095,Credit,Credit in Cash,,0,1700,1700,9281.7,1,27,5,1/1/2019 10:46
T00235673,1096,Debit,Cash Withdrawal,1,6600,0,6600,39299,1,86,5,1/1/2019 9:13
T00239586,1097,Debit,Cash Withdrawal,1,2800,0,2800,28105.9,1,178,5,1/1/2019 11:58
T00236624,1098,Debit,Cash Withdrawal,1,840,0,840,16716.5,1,326,5,1/1/2019 15:15
T00235907,1099,Credit,Credit in Cash,,0,200,200,22419.6,1,332,5,1/1/2019 9:13
T00239460,1100,Debit,Cash Withdrawal,1,9120,0,9120,30905.9,1,178,5,1/1/2019 10:29
T00240077,1101,Debit,Credit Card Withdrawal,,1600,0,1600,39407.3,1,141,5,1/1/2019 13:14
T00240706,1102,Debit,Cash Withdrawal,1,540,0,540,22060.2,1,265,5,1/1/2019 16:09
T01076617,1103,Debit,Cash Withdrawal,1,5500,0,5500,3293.1,1,142,5,1/1/2019 12:45
T01076756,1104,Debit,Cash Withdrawal,1,1320,0,1320,8793.1,1,142,5,1/1/2019 14:01
T01001821,1105,Debit,Cash Withdrawal,1,2880,0,2880,22359.7,1,214,5,1/1/2019 13:37
T01001823,1106,Debit,Cash Withdrawal,1,1440,0,1440,20919.7,1,214,5,1/1/2019 12:27
T01194561,1107,Debit,Cash Withdrawal,1,6900,0,6900,27326.1,1,269,5,1/1/2019 9:54
T03216043,1108,Debit,Cash Withdrawal,1,1700,0,1700,76761.6,1,306,5,1/1/2019 13:56
T03222577,1109,Credit,Credit in Cash,,0,25703,25703,41843.4,1,129,5,1/1/2019 10:40
T03215883,1110,Debit,Cash Withdrawal,1,7500,0,7500,69261.6,1,306,5,1/1/2019 9:45
T03227436,1111,Debit,Cash Withdrawal,1,2400,0,2400,55533.7,1,80,5,1/1/2019 9:07
T00144371,1112,Debit,Cash Withdrawal,1,600,0,600,28992.7,1,255,5,1/1/2019 10:50
T00142479,1113,Debit,Cash Withdrawal,1,1400,0,1400,55428.9,1,192,5,1/1/2019 13:15
T00142975,1114,Debit,Cash Withdrawal,1,21800,0,21800,48463.8,1,10,5,1/1/2019 9:04
T00175838,1115,Debit,Cash Withdrawal,1,2000,0,2000,39129.1,1,112,5,1/1/2019 8:06
T00176578,1116,Debit,Credit Card Withdrawal,,1600,0,1600,69442.8,1,68,5,1/1/2019 13:11
T00172338,1117,Debit,Cash Withdrawal,1,1320,0,1320,16669,1,206,5,1/1/2019 9:37
T00172339,1118,Debit,Cash Withdrawal,1,960,0,960,17989,1,206,5,1/1/2019 9:51
T00181439,1119,Debit,Cash Withdrawal,1,1680,0,1680,16351.5,1,206,5,1/1/2019 9:53
T00182407,1120,Debit,Cash Withdrawal,1,20800,0,20800,49522,1,251,5,1/1/2019 11:46
T00340031,1121,Debit,Cash Withdrawal,1,2600,0,2600,30264,1,29,5,1/1/2019 11:23
T00131473,1122,Debit,Cash Withdrawal,1,7500,0,7500,49365.5,1,137,5,1/1/2019 10:56
T00130391,1123,Debit,Cash Withdrawal,1,840,0,840,91582.6,1,274,5,1/1/2019 15:23
T00134107,1124,Debit,Cash Withdrawal,1,2000,0,2000,13767.9,1,224,5,1/1/2019 16:27
T00130393,1125,Debit,Cash Withdrawal,1,1320,0,1320,90262.6,1,274,5,1/1/2019 9:02
T00133268,1126,Debit,Credit Card Withdrawal,,1600,0,1600,53792,1,193,5,1/1/2019 15:52
T00134979,1127,Debit,Cash Withdrawal,1,6900,0,6900,34476.8,1,51,5,1/1/2019 14:45
T00136046,1128,Debit,Credit Card Withdrawal,,2100,0,2100,52195.3,1,328,5,1/1/2019 9:48
T00135376,1129,Debit,Cash Withdrawal,1,2280,0,2280,31586.2,1,46,5,1/1/2019 14:52
T00138428,1130,Debit,Cash Withdrawal,1,2880,0,2880,56132.5,1,195,5,1/1/2019 16:02
T00975075,1131,Debit,Cash Withdrawal,1,2400,0,2400,20751.6,1,134,5,1/1/2019 9:47
T00975400,1132,Debit,Cash Withdrawal,1,3240,0,3240,51519.6,1,37,5,1/1/2019 13:55
T00602100,1133,Debit,Cash Withdrawal,1,4300,0,4300,41968.5,1,147,5,1/1/2019 14:33
T00602608,1134,Debit,Cash Withdrawal,1,34500,0,34500,49924.5,1,238,5,1/1/2019 10:22
T00602516,1135,Debit,Cash Withdrawal,1,1500,0,1500,48424.5,1,238,5,1/1/2019 8:38
T00670641,1136,Debit,Cash Withdrawal,1,9000,0,9000,29582.8,1,26,5,1/1/2019 9:45
T00670566,1137,Debit,Cash Withdrawal,1,1920,0,1920,38582.8,1,26,5,1/1/2019 14:55
T00772060,1138,Debit,Cash Withdrawal,1,3900,0,3900,62687.7,1,257,5,1/1/2019 10:13
T00775618,1139,Debit,Cash Withdrawal,1,6400,0,6400,33581.1,1,312,5,1/1/2019 11:01
T00772365,1140,Credit,Credit in Cash,,0,500,500,500,1,46,5,1/1/2019 16:12
T03292433,1141,Debit,Cash Withdrawal,1,2520,0,2520,57860.1,1,108,5,1/1/2019 15:21
T03249540,1142,Debit,Cash Withdrawal,1,7200,0,7200,38689.2,1,218,5,1/1/2019 8:04
T03253580,1143,Debit,Cash Withdrawal,1,1800,0,1800,44224.8,1,46,5,1/1/2019 13:58
T00537649,1144,Debit,Cash Withdrawal,1,3000,0,3000,39949.9,1,251,5,1/1/2019 14:58
T00535722,1145,Debit,Cash Withdrawal,1,18700,0,18700,43024.8,1,236,5,1/1/2019 8:01
T00538468,1146,Debit,Cash Withdrawal,1,720,0,720,24729.7,1,197,5,1/1/2019 13:49
T00535588,1147,Debit,Cash Withdrawal,1,1080,0,1080,41944.8,1,236,5,1/1/2019 11:05
T00535978,1148,Debit,Cash Withdrawal,1,600,0,600,34667.1,1,40,5,1/1/2019 9:36
T01391937,1149,Debit,Cash Withdrawal,1,4500,0,4500,70230.5,1,318,5,1/1/2019 8:56
T01399765,1150,Debit,Cash Withdrawal,1,6900,0,6900,21659.3,1,20,5,1/1/2019 13:58
T01353092,1151,Debit,Cash Withdrawal,1,6600,0,6600,85982.5,1,123,5,1/1/2019 10:30
T01365560,1152,Debit,Cash Withdrawal,1,8700,0,8700,58353,1,281,5,1/1/2019 15:30
T02043835,1153,Credit,Credit in Cash,,0,6300,6300,6609,1,342,5,1/1/2019 12:13
T01977972,1154,Debit,Cash Withdrawal,1,15000,0,15000,95137.9,1,155,5,1/1/2019 8:41
T01977655,1155,Credit,Credit in Cash,,0,36054,36054,110137.9,1,155,5,1/1/2019 8:38
T02009024,1156,Debit,Cash Withdrawal,1,8700,0,8700,41392.4,1,180,5,1/1/2019 14:12
T00393889,1157,Debit,Cash Withdrawal,1,6300,0,6300,73262.8,1,47,5,1/1/2019 9:04
T00433545,1158,Debit,Cash Withdrawal,1,150,0,150,15875,1,72,5,1/1/2019 16:35
T00433542,1159,Debit,Cash Withdrawal,1,570,0,570,16025,1,72,5,1/1/2019 9:59
T00429535,1160,Debit,Cash Withdrawal,1,1600,0,1600,31177.5,1,183,5,1/1/2019 9:31
T00535014,1161,Debit,Cash Withdrawal,1,1360,0,1360,28326.1,1,75,5,1/1/2019 13:08
T00530812,1162,Debit,Cash Withdrawal,1,4800,0,4800,26400.1,1,140,5,1/1/2019 13:29
T00532982,1163,Debit,Cash Withdrawal,1,500,0,500,29602.3,1,290,5,1/1/2019 13:30
T00781554,1164,Credit,Credit in Cash,,0,8172,8172,44952.3,1,348,5,1/1/2019 16:24
T00781333,1165,Debit,Cash Withdrawal,1,2400,0,2400,48276.6,1,288,5,1/1/2019 8:42
T00780980,1166,Debit,Cash Withdrawal,1,1840,0,1840,26524.3,1,28,5,1/1/2019 12:40
T00779889,1167,Credit,Credit in Cash,,0,9049,9049,50799.8,1,252,5,1/1/2019 10:33
T00778684,1168,Debit,Cash Withdrawal,1,2880,0,2880,23315.8,1,47,5,1/1/2019 13:53
T00780168,1169,Debit,Cash Withdrawal,1,3600,0,3600,47199.8,1,252,5,1/1/2019 8:54
T00349805,1170,Debit,Cash Withdrawal,1,2760,0,2760,29428.4,1,329,5,1/1/2019 10:43
T00345682,1171,Debit,Cash Withdrawal,1,7800,0,7800,26569.7,1,168,5,1/1/2019 11:46
T00352403,1172,Debit,Cash Withdrawal,1,390,0,390,33830.7,1,217,5,1/1/2019 16:45
T00355752,1173,Debit,Cash Withdrawal,1,800,0,800,18003.8,1,215,5,1/1/2019 8:56
T00353275,1174,Debit,Cash Withdrawal,1,2800,0,2800,40390.8,1,132,5,1/1/2019 8:04
T00355750,1175,Debit,Cash Withdrawal,1,1360,0,1360,16643.8,1,215,5,1/1/2019 15:09
T00968490,1176,Debit,Cash Withdrawal,1,2600,0,2600,27584.2,1,2,5,1/1/2019 14:03
T00969277,1177,Debit,Cash Withdrawal,1,3120,0,3120,68200.1,1,227,5,1/1/2019 16:37
T00969745,1178,Debit,Cash Withdrawal,1,2320,0,2320,14517.2,1,13,5,1/1/2019 9:53
T01150966,1179,Debit,Cash Withdrawal,1,510,0,510,26672.5,1,311,5,1/1/2019 13:58
T00785679,1180,Debit,Cash Withdrawal,1,9200,0,9200,41039.8,1,193,5,1/1/2019 15:43
T00786451,1181,Debit,Cash Withdrawal,1,2400,0,2400,32908.2,1,160,5,1/1/2019 16:43
T00784800,1182,Debit,Cash Withdrawal,1,850,0,850,57935.9,1,80,5,1/1/2019 13:20
T00825399,1183,Debit,Cash Withdrawal,1,27600,0,27600,40138.4,1,153,5,1/1/2019 10:39
T00826927,1184,Debit,Cash Withdrawal,1,1500,0,1500,44969.8,1,64,5,1/1/2019 12:46
T00827658,1185,Debit,Cash Withdrawal,1,18100,0,18100,54552,1,348,5,1/1/2019 10:38
T03324502,1186,Debit,Credit Card Withdrawal,,1500,0,1500,53010.5,1,63,5,1/1/2019 9:01
T00981616,1187,Debit,Cash Withdrawal,1,3000,0,3000,17310.3,1,56,5,1/1/2019 14:50
T00977304,1188,Debit,Cash Withdrawal,1,3600,0,3600,53252.3,1,88,5,1/1/2019 11:53
T00982173,1189,Debit,Cash Withdrawal,1,1680,0,1680,26293,1,136,5,1/1/2019 16:10
T00981143,1190,Debit,Cash Withdrawal,1,1440,0,1440,48346.1,1,306,5,1/1/2019 14:52
T01031050,1191,Debit,Cash Withdrawal,1,1300,0,1300,27106.5,1,48,5,1/1/2019 10:47
T01147237,1192,Debit,Cash Withdrawal,1,1680,0,1680,22790.1,1,103,5,1/1/2019 16:16
T01147239,1193,Debit,Cash Withdrawal,1,2000,0,2000,24470.1,1,103,5,1/1/2019 16:36
T02879544,1194,Debit,Cash Withdrawal,1,2700,0,2700,87705.9,1,187,5,1/1/2019 10:32
T02872143,1195,Debit,Cash Withdrawal,1,4800,0,4800,42707.1,1,33,5,1/1/2019 16:13
T02868803,1196,Debit,Cash Withdrawal,1,8400,0,8400,37554.2,1,66,5,1/1/2019 11:29
T00149045,1197,Debit,Cash Withdrawal,1,1440,0,1440,47394.5,1,270,5,1/1/2019 11:16
T00150739,1198,Debit,Cash Withdrawal,1,1300,0,1300,59534.2,1,344,5,1/1/2019 10:11
T00148609,1199,Debit,Cash Withdrawal,1,1560,0,1560,20093,1,147,5,1/1/2019 8:19
T00151041,1200,Debit,Cash Withdrawal,1,720,0,720,27166.7,1,344,5,1/1/2019 13:25
T00156413,1201,Debit,Credit Card Withdrawal,,1200,0,1200,69766.6,1,60,5,1/1/2019 12:21
T00154241,1202,Debit,Cash Withdrawal,1,1080,0,1080,66857.7,1,164,5,1/1/2019 10:57
T00114855,1203,Debit,Cash Withdrawal,1,6500,0,6500,29206.7,1,339,5,1/1/2019 16:32
T00114212,1204,Debit,Cash Withdrawal,1,690,0,690,23866.9,1,103,5,1/1/2019 13:49
T00118027,1205,Debit,Cash Withdrawal,1,2040,0,2040,43941.7,1,68,5,1/1/2019 9:35
T00114247,1206,Debit,Cash Withdrawal,1,960,0,960,24556.9,1,103,5,1/1/2019 8:07
T00123005,1207,Debit,Cash Withdrawal,1,720,0,720,13389.7,1,95,5,1/1/2019 9:41
T00121766,1208,Debit,Cash Withdrawal,1,10400,0,10400,38767.8,1,244,5,1/1/2019 11:14
T00123199,1209,Debit,Cash Withdrawal,1,1800,0,1800,27757.6,1,260,5,1/1/2019 8:38
T00950044,1210,Debit,Cash Withdrawal,1,16900,0,16900,37925,1,124,5,1/1/2019 16:20
T00953825,1211,Debit,Cash Withdrawal,1,720,0,720,19593.5,1,346,5,1/1/2019 9:35
T00577935,1212,Debit,Cash Withdrawal,1,8700,0,8700,95131,1,82,5,1/1/2019 16:10
T00575018,1213,Debit,Cash Withdrawal,1,2950,0,2950,29227.5,1,324,5,1/1/2019 14:42
T00742298,1214,Debit,Cash Withdrawal,1,1320,0,1320,34943.5,1,124,5,1/1/2019 13:05
T00744253,1215,Debit,Cash Withdrawal,1,3240,0,3240,30061.8,1,253,5,1/1/2019 11:04
T00740627,1216,Debit,Cash Withdrawal,1,1040,0,1040,19829.9,1,195,5,1/1/2019 16:15
T02907793,1217,Debit,Cash Withdrawal,1,1800,0,1800,41929.2,1,77,5,1/1/2019 14:59
T02931711,1218,Debit,Cash Withdrawal,1,5100,0,5100,32764.5,1,338,5,1/1/2019 14:58
T02938058,1219,Credit,Credit in Cash,,0,900,900,900,1,104,5,1/1/2019 15:35
T00513520,1220,Debit,Cash Withdrawal,1,3300,0,3300,47421.8,1,252,5,1/1/2019 9:34
T00513519,1221,Debit,Cash Withdrawal,1,7200,0,7200,40221.8,1,252,5,1/1/2019 10:45
T00512013,1222,Debit,Cash Withdrawal,1,2880,0,2880,67736.6,1,264,5,1/1/2019 16:20
T00546085,1223,Debit,Cash Withdrawal,1,1440,0,1440,25612.3,1,50,5,1/1/2019 14:51
T00546065,1224,Debit,Cash Withdrawal,1,3850,0,3850,21762.3,1,50,5,1/1/2019 8:46
T01252372,1225,Debit,Credit Card Withdrawal,,1000,0,1000,70481.9,1,143,5,1/1/2019 13:28
T01252371,1226,Debit,Credit Card Withdrawal,,1700,0,1700,68781.9,1,143,5,1/1/2019 11:02
T01263270,1227,Debit,Cash Withdrawal,1,8700,0,8700,23294.1,1,347,5,1/1/2019 8:44
T01263594,1228,Debit,Cash Withdrawal,1,1500,0,1500,66443.8,1,160,5,1/1/2019 11:53
T01265915,1229,Debit,Cash Withdrawal,1,1350,0,1350,17169.2,1,310,5,1/1/2019 9:30
T01644360,1230,Debit,Cash Withdrawal,1,6000,0,6000,50887.4,1,121,5,1/1/2019 16:31
T01614199,1231,Debit,Cash Withdrawal,1,5700,0,5700,28561.7,1,216,5,1/1/2019 12:26
T03123458,1232,Credit,Credit in Cash,,0,12284,12284,11565.4,1,134,5,1/1/2019 11:41
T03183687,1233,Debit,Cash Withdrawal,1,7500,0,7500,48694.1,1,258,5,1/1/2019 14:12
T00357236,1234,Debit,Cash Withdrawal,1,2400,0,2400,44279.3,1,87,5,1/1/2019 10:47
T00360689,1235,Debit,Credit Card Withdrawal,,2800,0,2800,56783.7,1,103,5,1/1/2019 11:35
T00395873,1236,Debit,Cash Withdrawal,1,17600,0,17600,63414.8,1,105,5,1/1/2019 13:02
T00395722,1237,Debit,Credit Card Withdrawal,,3400,0,3400,81014.8,1,105,5,1/1/2019 13:16
T00438601,1238,Debit,Cash Withdrawal,1,1800,0,1800,40442.4,1,61,5,1/1/2019 10:57
T00435950,1239,Debit,Cash Withdrawal,1,510,0,510,20480,1,124,5,1/1/2019 13:14
T00750131,1240,Debit,Cash Withdrawal,1,1000,0,1000,29280.2,1,96,5,1/1/2019 15:57
T00310304,1241,Debit,Cash Withdrawal,1,1250,0,1250,14897.7,1,72,5,1/1/2019 9:15
T00312169,1242,Debit,Cash Withdrawal,1,1200,0,1200,37828.6,1,130,5,1/1/2019 12:56
T00319766,1243,Debit,Credit Card Withdrawal,,500,0,500,22094,1,58,5,1/1/2019 15:58
T01158074,1244,Debit,Cash Withdrawal,1,7500,0,7500,18423,1,330,5,1/1/2019 13:28
T01156121,1245,Debit,Cash Withdrawal,1,600,0,600,41558.1,1,237,5,1/1/2019 9:06
T01157215,1246,Debit,Cash Withdrawal,1,1280,0,1280,23476,1,92,5,1/1/2019 14:50
T00833577,1247,Debit,Cash Withdrawal,1,3300,0,3300,54087.2,1,57,5,1/1/2019 10:35
T00828099,1248,Debit,Cash Withdrawal,1,6800,0,6800,47923.7,1,74,5,1/1/2019 10:10
T00832562,1249,Debit,Cash Withdrawal,1,1250,0,1250,29768.5,1,4,5,1/1/2019 9:47
T00829067,1250,Debit,Cash Withdrawal,1,960,0,960,18845.1,1,299,5,1/1/2019 13:43
T00831385,1251,Debit,Cash Withdrawal,1,2300,0,2300,17450.5,1,28,5,1/1/2019 15:43
T00946500,1252,Debit,Cash Withdrawal,1,1000,0,1000,14464.4,1,280,5,1/1/2019 12:05
T00949969,1253,Debit,Cash Withdrawal,1,1920,0,1920,54825,1,124,5,1/1/2019 10:17
T00949598,1254,Debit,Cash Withdrawal,1,3360,0,3360,28660.8,1,298,5,1/1/2019 12:42
T00948567,1255,Debit,Cash Withdrawal,1,2700,0,2700,74353.9,1,235,5,1/1/2019 8:15
T01126293,1256,Debit,Cash Withdrawal,1,2160,0,2160,75776.6,1,121,5,1/1/2019 15:39
T01126540,1257,Debit,Cash Withdrawal,1,2040,0,2040,38649.5,1,118,5,1/1/2019 15:14
T00755089,1258,Debit,Cash Withdrawal,1,7800,0,7800,48065.8,1,271,5,1/1/2019 11:03
T00755455,1259,Debit,Cash Withdrawal,1,640,0,640,28000.8,1,56,5,1/1/2019 15:29
T00752401,1260,Credit,Credit in Cash,,0,100,100,14450.4,1,102,5,1/1/2019 16:00
T00753860,1261,Debit,Cash Withdrawal,1,7663,0,7663,44549.3,1,142,5,1/1/2019 15:59
